sim_haploidn,tips,sim
14,CGA236,3
17,Calboe,3
18,C3125,3
18,CGA429,3
14,C985,3
18,CGA310,3
11,CGA382,3
18,CGA494,3
14,C12265,3
18,C404,3
18,Cl11778,3
11,CGA594,3
18,C3134,3
18,CGA311,3
12,CGA45,3
12,C3043,3
15,CGA368,3
15,CGA364,3
19,C2208,3
18,CGA453,3
18,CGA501,3
18,C3121,3
18,Calparcri,3
18,Triowe,3
12,Trijoh,3
18,Trimel,3
18,Trihoe,3
18,Tribit,3
12,Trijac,3
18,Tricri,3
13,Triwie,3
17,Triqua,3
17,Kinboe,3
18,Kinfis,3
17,Kinxen,3
17,Chaafr,3
16,Chacha,3
16,Chacaly,3
17,Chazey,3
11,Chadil,3
11,Chasen,3
15,Chanam,3
16,Braset,3
17,Bramel,3
18,Bratha,3
18,Bradra,3
18,Bratra,3
14,Bragut,3
12,Braven,3
18,Brapum,3
12,Bradam,3
18,B3088,4
11,BGA709,4
17,BGA309,4
18,B11696,4
18,B11609,4
18,B985,4
16,B199,4
18,B11604,4
18,BGA89,4
18,BGAA2,4
18,BGA584,4
18,BGA304,4
11,BGAB1,4
16,PGA445,4
19,Rhaspe,4
18,Rhamar,4
11,Rhatem,4
14,FGA379,4
12,F3016,4
11,F1476,4
11,Furcep,4
12,Furpol,4
17,F2241,4
18,Furang,4
14,FGA490,4
15,FGA456,4
14,FGA516,4
18,F12278,4
18,Furant,4
17,FGA331,4
17,FGA465,4
12,FGA99,4
14,FGA15,4
12,FGA581,4
18,FGA104,4
12,FGA489,4
18,FGA174,4
18,FurbGB,4
18,CGA312,4
14,CGA642,4
18,CGA763,4
19,C601,4
10,CGA236,4
11,Calboe,4
12,C3125,4
17,CGA429,4
15,C985,4
16,CGA310,4
14,CGA382,4
18,CGA494,4
18,C12265,4
18,C404,4
12,Cl11778,4
18,CGA594,4
17,C3134,4
12,CGA311,4
17,CGA45,4
15,C3043,4
18,CGA368,4
12,CGA364,4
12,C2208,4
18,CGA453,4
11,CGA501,4
11,C3121,4
18,Calparcri,4
18,Triowe,4
18,Trijoh,4
17,Trimel,4
11,Trihoe,4
15,Tribit,4
12,Trijac,4
11,Tricri,4
17,Triwie,4
12,Triqua,4
17,Kinboe,4
10,Kinfis,4
18,Kinxen,4
17,Chaafr,4
18,Chacha,4
12,Chacaly,4
12,Chazey,4
12,Chadil,4
17,Chasen,4
17,Chanam,4
13,Braset,4
18,Bramel,4
18,Bratha,4
18,Bradra,4
12,Bratra,4
12,Bragut,4
18,Braven,4
17,Brapum,4
18,Bradam,4
15,B3088,5
18,BGA709,5
18,BGA309,5
11,B11696,5
18,B11609,5
17,B985,5
10,B199,5
12,B11604,5
12,BGA89,5
14,BGAA2,5
12,BGA584,5
15,BGA304,5
12,BGAB1,5
18,PGA445,5
18,Rhaspe,5
15,Rhamar,5
11,Rhatem,5
16,FGA379,5
12,F3016,5
14,F1476,5
18,Furcep,5
17,Furpol,5
17,F2241,5
19,Furang,5
18,FGA490,5
18,FGA456,5
11,FGA516,5
17,F12278,5
19,Furant,5
12,FGA331,5
18,FGA465,5
17,FGA99,5
12,FGA15,5
18,FGA581,5
18,FGA104,5
17,FGA489,5
14,FGA174,5
16,FurbGB,5
14,CGA312,5
11,CGA642,5
12,CGA763,5
11,C601,5
12,CGA236,5
18,Calboe,5
18,C3125,5
18,CGA429,5
11,C985,5
18,CGA310,5
17,CGA382,5
18,CGA494,5
18,C12265,5
18,C404,5
12,Cl11778,5
17,CGA594,5
17,C3134,5
14,CGA311,5
11,CGA45,5
18,C3043,5
12,CGA368,5
17,CGA364,5
18,C2208,5
11,CGA453,5
18,CGA501,5
12,C3121,5
18,Calparcri,5
18,Triowe,5
12,Trijoh,5
12,Trimel,5
17,Trihoe,5
18,Tribit,5
14,Trijac,5
12,Tricri,5
15,Triwie,5
18,Triqua,5
18,Kinboe,5
17,Kinfis,5
18,Kinxen,5
16,Chaafr,5
17,Chacha,5
18,Chacaly,5
18,Chazey,5
12,Chadil,5
18,Chasen,5
13,Chanam,5
11,Braset,5
17,Bramel,5
18,Bratha,5
18,Bradra,5
18,Bratra,5
10,Bragut,5
12,Braven,5
11,Brapum,5
18,Bradam,5
17,B3088,6
18,BGA709,6
18,BGA309,6
18,B11696,6
17,B11609,6
12,B985,6
18,B199,6
11,B11604,6
17,BGA89,6
11,BGAA2,6
18,BGA584,6
11,BGA304,6
12,BGAB1,6
15,PGA445,6
11,Rhaspe,6
16,Rhamar,6
18,Rhatem,6
11,FGA379,6
12,F3016,6
11,F1476,6
19,Furcep,6
18,Furpol,6
12,F2241,6
18,Furang,6
18,FGA490,6
18,FGA456,6
13,FGA516,6
15,F12278,6
17,Furant,6
18,FGA331,6
10,FGA465,6
11,FGA99,6
17,FGA15,6
16,FGA581,6
12,FGA104,6
18,FGA489,6
18,FGA174,6
12,FurbGB,6
17,CGA312,6
18,CGA642,6
17,CGA763,6
18,C601,6
12,CGA236,6
12,Calboe,6
17,C3125,6
14,CGA429,6
18,C985,6
12,CGA310,6
14,CGA382,6
12,CGA494,6
14,C12265,6
19,C404,6
16,Cl11778,6
17,CGA594,6
12,C3134,6
12,CGA311,6
11,CGA45,6
12,C3043,6
15,CGA368,6
17,CGA364,6
15,C2208,6
17,CGA453,6
10,CGA501,6
18,C3121,6
18,Calparcri,6
17,Triowe,6
14,Trijoh,6
12,Trimel,6
12,Trihoe,6
18,Tribit,6
18,Trijac,6
18,Tricri,6
18,Triwie,6
14,Triqua,6
18,Kinboe,6
18,Kinfis,6
12,Kinxen,6
17,Chaafr,6
18,Chacha,6
18,Chacaly,6
18,Chazey,6
11,Chadil,6
17,Chasen,6
12,Chanam,6
11,Braset,6
18,Bramel,6
18,Bratha,6
18,Bradra,6
18,Bratra,6
18,Bragut,6
18,Braven,6
14,Brapum,6
18,Bradam,6
17,B3088,7
18,BGA709,7
17,BGA309,7
11,B11696,7
11,B11609,7
18,B985,7
18,B199,7
18,B11604,7
19,BGA89,7
17,BGAA2,7
12,BGA584,7
18,BGA304,7
12,BGAB1,7
18,PGA445,7
16,Rhaspe,7
12,Rhamar,7
11,Rhatem,7
12,FGA379,7
18,F3016,7
18,F1476,7
18,Furcep,7
17,Furpol,7
18,F2241,7
17,Furang,7
12,FGA490,7
12,FGA456,7
18,FGA516,7
17,F12278,7
16,Furant,7
17,FGA331,7
11,FGA465,7
18,FGA99,7
18,FGA15,7
17,FGA581,7
11,FGA104,7
18,FGA489,7
18,FGA174,7
14,FurbGB,7
12,CGA312,7
14,CGA642,7
17,CGA763,7
17,C601,7
12,CGA236,7
12,Calboe,7
14,C3125,7
18,CGA429,7
17,C985,7
18,CGA310,7
18,CGA382,7
18,CGA494,7
12,C12265,7
15,C404,7
11,Cl11778,7
18,CGA594,7
18,C3134,7
18,CGA311,7
18,CGA45,7
12,C3043,7
18,CGA368,7
18,CGA364,7
18,C2208,7
15,CGA453,7
11,CGA501,7
12,C3121,7
17,Calparcri,7
12,Triowe,7
14,Trijoh,7
10,Trimel,7
18,Trihoe,7
18,Tribit,7
18,Trijac,7
18,Tricri,7
15,Triwie,7
12,Triqua,7
18,Kinboe,7
14,Kinfis,7
18,Kinxen,7
14,Chaafr,7
16,Chacha,7
11,Chacaly,7
17,Chazey,7
11,Chadil,7
12,Chasen,7
10,Chanam,7
13,Braset,7
12,Bramel,7
18,Bratha,7
18,Bradra,7
11,Bratra,7
15,Bragut,7
19,Braven,7
17,Brapum,7
12,Bradam,7
15,B3088,8
18,BGA709,8
15,BGA309,8
15,B11696,8
18,B11609,8
13,B985,8
18,B199,8
18,B11604,8
11,BGA89,8
18,BGAA2,8
12,BGA584,8
18,BGA304,8
12,BGAB1,8
17,PGA445,8
12,Rhaspe,8
17,Rhamar,8
17,Rhatem,8
12,FGA379,8
12,F3016,8
11,F1476,8
11,Furcep,8
18,Furpol,8
18,F2241,8
12,Furang,8
18,FGA490,8
17,FGA456,8
12,FGA516,8
18,F12278,8
18,Furant,8
14,FGA331,8
18,FGA465,8
17,FGA99,8
17,FGA15,8
17,FGA581,8
18,FGA104,8
17,FGA489,8
11,FGA174,8
11,FurbGB,8
10,CGA312,8
11,CGA642,8
14,CGA763,8
12,C601,8
12,CGA236,8
12,Calboe,8
15,C3125,8
10,CGA429,8
18,C985,8
18,CGA310,8
17,CGA382,8
18,CGA494,8
12,C12265,8
18,C404,8
18,Cl11778,8
18,CGA594,8
12,C3134,8
17,CGA311,8
14,CGA45,8
12,C3043,8
18,CGA368,8
18,CGA364,8
16,C2208,8
18,CGA453,8
17,CGA501,8
14,C3121,8
18,Calparcri,8
18,Triowe,8
18,Trijoh,8
18,Trimel,8
17,Trihoe,8
18,Tribit,8
19,Trijac,8
14,Tricri,8
16,Triwie,8
17,Triqua,8
18,Kinboe,8
11,Kinfis,8
14,Kinxen,8
19,Chaafr,8
18,Chacha,8
16,Chacaly,8
11,Chazey,8
18,Chadil,8
18,Chasen,8
18,Chanam,8
12,Braset,8
12,Bramel,8
12,Bratha,8
17,Bradra,8
18,Bratra,8
11,Bragut,8
12,Braven,8
11,Brapum,8
18,Bradam,8
15,B3088,9
18,BGA709,9
12,BGA309,9
18,B11696,9
18,B11609,9
18,B985,9
14,B199,9
11,B11604,9
11,BGA89,9
18,BGAA2,9
18,BGA584,9
14,BGA304,9
18,BGAB1,9
12,PGA445,9
12,Rhaspe,9
12,Rhamar,9
18,Rhatem,9
17,FGA379,9
17,F3016,9
18,F1476,9
16,Furcep,9
18,Furpol,9
12,F2241,9
17,Furang,9
18,FGA490,9
11,FGA456,9
19,FGA516,9
18,F12278,9
11,Furant,9
12,FGA331,9
12,FGA465,9
11,FGA99,9
18,FGA15,9
11,FGA581,9
11,FGA104,9
12,FGA489,9
14,FGA174,9
14,FurbGB,9
11,CGA312,9
17,CGA642,9
14,CGA763,9
18,C601,9
16,CGA236,9
12,Calboe,9
18,C3125,9
17,CGA429,9
18,C985,9
13,CGA310,9
12,CGA382,9
17,CGA494,9
12,C12265,9
14,C404,9
18,Cl11778,9
11,CGA594,9
18,C3134,9
19,CGA311,9
17,CGA45,9
17,C3043,9
18,CGA368,9
18,CGA364,9
17,C2208,9
18,CGA453,9
12,CGA501,9
18,C3121,9
18,Calparcri,9
18,Triowe,9
10,Trijoh,9
17,Trimel,9
12,Trihoe,9
18,Tribit,9
18,Trijac,9
17,Tricri,9
18,Triwie,9
18,Triqua,9
12,Kinboe,9
18,Kinfis,9
16,Kinxen,9
17,Chaafr,9
15,Chacha,9
18,Chacaly,9
17,Chazey,9
18,Chadil,9
18,Chasen,9
11,Chanam,9
15,Braset,9
18,Bramel,9
15,Bratha,9
10,Bradra,9
12,Bratra,9
12,Bragut,9
18,Braven,9
17,Brapum,9
12,Bradam,9
14,B3088,10
18,BGA709,10
12,BGA309,10
18,B11696,10
18,B11609,10
17,B985,10
18,B199,10
18,B11604,10
16,BGA89,10
15,BGAA2,10
18,BGA584,10
10,BGA304,10
18,BGAB1,10
18,PGA445,10
11,Rhaspe,10
11,Rhamar,10
18,Rhatem,10
18,FGA379,10
18,F3016,10
11,F1476,10
15,Furcep,10
18,Furpol,10
18,F2241,10
12,Furang,10
12,FGA490,10
10,FGA456,10
12,FGA516,10
13,F12278,10
17,Furant,10
12,FGA331,10
19,FGA465,10
16,FGA99,10
18,FGA15,10
12,FGA581,10
18,FGA104,10
18,FGA489,10
17,FGA174,10
14,FurbGB,10
18,CGA312,10
18,CGA642,10
17,CGA763,10
18,C601,10
18,CGA236,10
12,Calboe,10
17,C3125,10
17,CGA429,10
17,C985,10
12,CGA310,10
17,CGA382,10
18,CGA494,10
18,C12265,10
19,C404,10
18,Cl11778,10
17,CGA594,10
12,C3134,10
15,CGA311,10
18,CGA45,10
16,C3043,10
11,CGA368,10
14,CGA364,10
12,C2208,10
18,CGA453,10
15,CGA501,10
11,C3121,10
18,Calparcri,10
11,Triowe,10
17,Trijoh,10
18,Trimel,10
14,Trihoe,10
17,Tribit,10
18,Trijac,10
18,Tricri,10
12,Triwie,10
11,Triqua,10
11,Kinboe,10
18,Kinfis,10
12,Kinxen,10
14,Chaafr,10
18,Chacha,10
18,Chacaly,10
11,Chazey,10
18,Chadil,10
18,Chasen,10
17,Chanam,10
12,Braset,10
12,Bramel,10
11,Bratha,10
14,Bradra,10
17,Bratra,10
12,Bragut,10
12,Braven,10
17,Brapum,10
12,Bradam,10
18,B3088,11
18,BGA709,11
18,BGA309,11
11,B11696,11
17,B11609,11
17,B985,11
12,B199,11
12,B11604,11
11,BGA89,11
12,BGAA2,11
15,BGA584,11
12,BGA304,11
18,BGAB1,11
11,PGA445,11
18,Rhaspe,11
18,Rhamar,11
14,Rhatem,11
17,FGA379,11
11,F3016,11
15,F1476,11
18,Furcep,11
18,Furpol,11
18,F2241,11
18,Furang,11
18,FGA490,11
16,FGA456,11
18,FGA516,11
12,F12278,11
18,Furant,11
18,FGA331,11
15,FGA465,11
17,FGA99,11
12,FGA15,11
11,FGA581,11
11,FGA104,11
18,FGA489,11
14,FGA174,11
17,FurbGB,11
11,CGA312,11
10,CGA642,11
17,CGA763,11
11,C601,11
12,CGA236,11
18,Calboe,11
15,C3125,11
18,CGA429,11
17,C985,11
18,CGA310,11
12,CGA382,11
18,CGA494,11
12,C12265,11
16,C404,11
18,Cl11778,11
18,CGA594,11
12,C3134,11
10,CGA311,11
17,CGA45,11
12,C3043,11
17,CGA368,11
18,CGA364,11
14,C2208,11
18,CGA453,11
18,CGA501,11
13,C3121,11
19,Calparcri,11
18,Triowe,11
17,Trijoh,11
18,Trimel,11
17,Trihoe,11
11,Tribit,11
18,Trijac,11
18,Tricri,11
12,Triwie,11
12,Triqua,11
18,Kinboe,11
14,Kinfis,11
18,Kinxen,11
19,Chaafr,11
14,Chacha,11
12,Chacaly,11
16,Chazey,11
18,Chadil,11
12,Chasen,11
18,Chanam,11
17,Braset,11
18,Bramel,11
18,Bratha,11
12,Bradra,11
17,Bratra,11
14,Bragut,11
17,Braven,11
11,Brapum,11
12,Bradam,11
12,B3088,12
18,BGA709,12
18,BGA309,12
12,B11696,12
19,B11609,12
11,B985,12
12,B199,12
14,B11604,12
11,BGA89,12
15,BGAA2,12
17,BGA584,12
18,BGA304,12
11,BGAB1,12
17,PGA445,12
15,Rhaspe,12
18,Rhamar,12
17,Rhatem,12
18,FGA379,12
12,F3016,12
18,F1476,12
17,Furcep,12
18,Furpol,12
11,F2241,12
18,Furang,12
17,FGA490,12
18,FGA456,12
17,FGA516,12
12,F12278,12
18,Furant,12
18,FGA331,12
18,FGA465,12
11,FGA99,12
14,FGA15,12
18,FGA581,12
16,FGA104,12
18,FGA489,12
18,FGA174,12
12,FurbGB,12
12,CGA312,12
12,CGA642,12
17,CGA763,12
12,C601,12
17,CGA236,12
14,Calboe,12
12,C3125,12
14,CGA429,12
18,C985,12
11,CGA310,12
18,CGA382,12
16,CGA494,12
18,C12265,12
17,C404,12
17,Cl11778,12
18,CGA594,12
17,C3134,12
12,CGA311,12
18,CGA45,12
18,C3043,12
16,CGA368,12
12,CGA364,12
17,C2208,12
18,CGA453,12
18,CGA501,12
18,C3121,12
18,Calparcri,12
11,Triowe,12
18,Trijoh,12
19,Trimel,12
12,Trihoe,12
18,Tribit,12
11,Trijac,12
17,Tricri,12
18,Triwie,12
18,Triqua,12
12,Kinboe,12
18,Kinfis,12
14,Kinxen,12
11,Chaafr,12
18,Chacha,12
18,Chacaly,12
18,Chazey,12
10,Chadil,12
14,Chasen,12
18,Chanam,12
15,Braset,12
11,Bramel,12
15,Bratha,12
12,Bradra,12
13,Bratra,12
10,Bragut,12
17,Braven,12
12,Brapum,12
12,Bradam,12
10,B3088,13
17,BGA709,13
18,BGA309,13
18,B11696,13
16,B11609,13
17,B985,13
18,B199,13
13,B11604,13
18,BGA89,13
12,BGAA2,13
14,BGA584,13
11,BGA304,13
15,BGAB1,13
12,PGA445,13
16,Rhaspe,13
17,Rhamar,13
17,Rhatem,13
18,FGA379,13
17,F3016,13
18,F1476,13
17,Furcep,13
18,Furpol,13
18,F2241,13
18,Furang,13
11,FGA490,13
18,FGA456,13
18,FGA516,13
18,F12278,13
18,Furant,13
14,FGA331,13
18,FGA465,13
14,FGA99,13
14,FGA15,13
12,FGA581,13
18,FGA104,13
16,FGA489,13
17,FGA174,13
17,FurbGB,13
14,CGA312,13
18,CGA642,13
12,CGA763,13
18,C601,13
17,CGA236,13
11,Calboe,13
18,C3125,13
18,CGA429,13
12,C985,13
11,CGA310,13
11,CGA382,13
12,CGA494,13
18,C12265,13
12,C404,13
12,Cl11778,13
17,CGA594,13
18,C3134,13
17,CGA311,13
12,CGA45,13
14,C3043,13
18,CGA368,13
12,CGA364,13
15,C2208,13
10,CGA453,13
12,CGA501,13
18,C3121,13
19,Calparcri,13
18,Triowe,13
11,Trijoh,13
12,Trimel,13
17,Trihoe,13
11,Tribit,13
18,Trijac,13
18,Tricri,13
12,Triwie,13
18,Triqua,13
18,Kinboe,13
11,Kinfis,13
11,Kinxen,13
17,Chaafr,13
18,Chacha,13
18,Chacaly,13
19,Chazey,13
15,Chadil,13
18,Chasen,13
17,Chanam,13
15,Braset,13
12,Bramel,13
12,Bratha,13
18,Bradra,13
11,Bratra,13
12,Bragut,13
12,Braven,13
18,Brapum,13
18,Bradam,13
17,B3088,14
14,BGA709,14
19,BGA309,14
15,B11696,14
17,B11609,14
18,B985,14
12,B199,14
18,B11604,14
19,BGA89,14
12,BGAA2,14
16,BGA584,14
18,BGA304,14
18,BGAB1,14
15,PGA445,14
17,Rhaspe,14
12,Rhamar,14
18,Rhatem,14
17,FGA379,14
15,F3016,14
17,F1476,14
11,Furcep,14
18,Furpol,14
12,F2241,14
12,Furang,14
17,FGA490,14
18,FGA456,14
18,FGA516,14
18,F12278,14
12,Furant,14
18,FGA331,14
17,FGA465,14
18,FGA99,14
12,FGA15,14
10,FGA581,14
14,FGA104,14
12,FGA489,14
18,FGA174,14
18,FurbGB,14
18,CGA312,14
15,CGA642,14
11,CGA763,14
11,C601,14
18,CGA236,14
11,Calboe,14
18,C3125,14
16,CGA429,14
18,C985,14
11,CGA310,14
17,CGA382,14
18,CGA494,14
18,C12265,14
14,C404,14
18,Cl11778,14
17,CGA594,14
18,C3134,14
12,CGA311,14
11,CGA45,14
13,C3043,14
18,CGA368,14
18,CGA364,14
17,C2208,14
12,CGA453,14
17,CGA501,14
18,C3121,14
11,Calparcri,14
16,Triowe,14
12,Trijoh,14
11,Trimel,14
11,Trihoe,14
14,Tribit,14
17,Trijac,14
17,Tricri,14
18,Triwie,14
12,Triqua,14
14,Kinboe,14
12,Kinfis,14
18,Kinxen,14
18,Chaafr,14
14,Chacha,14
18,Chacaly,14
18,Chazey,14
18,Chadil,14
12,Chasen,14
18,Chanam,14
12,Braset,14
18,Bramel,14
12,Bratha,14
12,Bradra,14
17,Bratra,14
18,Bragut,14
10,Braven,14
18,Brapum,14
11,Bradam,14
18,B3088,15
17,BGA709,15
12,BGA309,15
12,B11696,15
18,B11609,15
11,B985,15
17,B199,15
18,B11604,15
14,BGA89,15
14,BGAA2,15
14,BGA584,15
11,BGA304,15
18,BGAB1,15
12,PGA445,15
10,Rhaspe,15
11,Rhamar,15
18,Rhatem,15
18,FGA379,15
12,F3016,15
18,F1476,15
16,Furcep,15
12,Furpol,15
12,F2241,15
19,Furang,15
17,FGA490,15
17,FGA456,15
17,FGA516,15
18,F12278,15
12,Furant,15
18,FGA331,15
11,FGA465,15
17,FGA99,15
11,FGA15,15
17,FGA581,15
15,FGA104,15
18,FGA489,15
12,FGA174,15
18,FurbGB,15
13,CGA312,15
11,CGA642,15
12,CGA763,15
12,C601,15
18,CGA236,15
18,Calboe,15
18,C3125,15
18,CGA429,15
18,C985,15
18,CGA310,15
18,CGA382,15
12,CGA494,15
17,C12265,15
17,C404,15
15,Cl11778,15
18,CGA594,15
11,C3134,15
16,CGA311,15
14,CGA45,15
12,C3043,15
12,CGA368,15
17,CGA364,15
18,C2208,15
17,CGA453,15
16,CGA501,15
18,C3121,15
18,Calparcri,15
11,Triowe,15
12,Trijoh,15
11,Trimel,15
18,Trihoe,15
15,Tribit,15
18,Trijac,15
18,Tricri,15
11,Triwie,15
18,Triqua,15
14,Kinboe,15
17,Kinfis,15
12,Kinxen,15
18,Chaafr,15
15,Chacha,15
18,Chacaly,15
14,Chazey,15
17,Chadil,15
18,Chasen,15
19,Chanam,15
10,Braset,15
18,Bramel,15
12,Bratha,15
18,Bradra,15
18,Bratra,15
18,Bragut,15
18,Braven,15
17,Brapum,15
12,Bradam,15
18,B3088,16
12,BGA709,16
18,BGA309,16
11,B11696,16
12,B11609,16
10,B985,16
17,B199,16
18,B11604,16
15,BGA89,16
14,BGAA2,16
10,BGA584,16
16,BGA304,16
18,BGAB1,16
18,PGA445,16
18,Rhaspe,16
14,Rhamar,16
12,Rhatem,16
18,FGA379,16
14,F3016,16
12,F1476,16
16,Furcep,16
17,Furpol,16
18,F2241,16
13,Furang,16
18,FGA490,16
17,FGA456,16
15,FGA516,16
18,F12278,16
18,Furant,16
18,FGA331,16
11,FGA465,16
18,FGA99,16
17,FGA15,16
18,FGA581,16
11,FGA104,16
14,FGA489,16
12,FGA174,16
12,FurbGB,16
17,CGA312,16
18,CGA642,16
12,CGA763,16
14,C601,16
12,CGA236,16
17,Calboe,16
19,C3125,16
11,CGA429,16
11,C985,16
18,CGA310,16
18,CGA382,16
18,CGA494,16
18,C12265,16
17,C404,16
18,Cl11778,16
18,CGA594,16
17,C3134,16
18,CGA311,16
18,CGA45,16
17,C3043,16
12,CGA368,16
15,CGA364,16
12,C2208,16
12,CGA453,16
17,CGA501,16
18,C3121,16
17,Calparcri,16
18,Triowe,16
18,Trijoh,16
12,Trimel,16
18,Trihoe,16
12,Tribit,16
18,Trijac,16
12,Tricri,16
12,Triwie,16
18,Triqua,16
19,Kinboe,16
11,Kinfis,16
16,Kinxen,16
15,Chaafr,16
11,Chacha,16
18,Chacaly,16
14,Chazey,16
17,Chadil,16
17,Chasen,16
11,Chanam,16
12,Braset,16
12,Bramel,16
11,Bratha,16
18,Bradra,16
18,Bratra,16
17,Bragut,16
18,Braven,16
18,Brapum,16
11,Bradam,16
17,B3088,17
18,BGA709,17
11,BGA309,17
12,B11696,17
17,B11609,17
18,B985,17
18,B199,17
14,B11604,17
17,BGA89,17
18,BGAA2,17
12,BGA584,17
17,BGA304,17
15,BGAB1,17
17,PGA445,17
18,Rhaspe,17
18,Rhamar,17
12,Rhatem,17
17,FGA379,17
12,F3016,17
11,F1476,17
18,Furcep,17
11,Furpol,17
10,F2241,17
11,Furang,17
18,FGA490,17
18,FGA456,17
18,FGA516,17
18,F12278,17
12,Furant,17
11,FGA331,17
18,FGA465,17
12,FGA99,17
18,FGA15,17
11,FGA581,17
17,FGA104,17
18,FGA489,17
19,FGA174,17
18,FurbGB,17
14,CGA312,17
12,CGA642,17
14,CGA763,17
12,C601,17
16,CGA236,17
14,Calboe,17
11,C3125,17
19,CGA429,17
17,C985,17
18,CGA310,17
18,CGA382,17
14,CGA494,17
12,C12265,17
17,C404,17
11,Cl11778,17
17,CGA594,17
15,C3134,17
12,CGA311,17
12,CGA45,17
12,C3043,17
17,CGA368,17
18,CGA364,17
11,C2208,17
18,CGA453,17
18,CGA501,17
16,C3121,17
18,Calparcri,17
18,Triowe,17
18,Trijoh,17
18,Trimel,17
10,Trihoe,17
17,Tribit,17
15,Trijac,17
18,Tricri,17
18,Triwie,17
17,Triqua,17
12,Kinboe,17
18,Kinfis,17
16,Kinxen,17
15,Chaafr,17
18,Chacha,17
12,Chacaly,17
18,Chazey,17
18,Chadil,17
12,Chasen,17
12,Chanam,17
17,Braset,17
18,Bramel,17
18,Bratha,17
