sample,genus,species,chromon,armn,macrop,microp,norpos,norpair,pair1,pair2,pair3,pair4,pair5,pair6,pair7,pair8,pair9,pair10,pair11,pair12,pair13,pair14,i1,i2,i3,i4,i5,i6,i7,i8,i9,i10,i11,i12,i13,i14,ref
BGAA1,brookesia,brookesia_boetchy,36,48,6,12,micro,NA,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,this study
BGAA2,brookesia,brookesia_boetchy,36,48,6,12,micro,NA,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,this study
BGA89,brookesia,brookesia_thieli2,36,48,6,12,micro,NA,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,this study
BGA40,brookesia,brookesia_thieli2,36,48,6,12,micro,NA,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,this study
B11696,brookesia,brookesia_brygooi,36,48,6,12,micro,NA,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,this study
B11697,brookesia,brookesia_brygooi,36,48,6,12,micro,NA,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,this study
B11604,brookesia,brookesia_superciliaris,36,48,6,12,micro,NA,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,this study
BGA583,brookesia,brookesia_superciliaris,36,48,6,12,micro,NA,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,this study
BGAB1,brookesia,brookesia_stumpffi,36,48,6,12,micro,NA,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,"Rovatsos et al., 2017; this study"
BGA7,brookesia,brookesia_stumpffi,36,48,6,12,micro,NA,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,"Rovatsos et al., 2017; this study"
BGA709,brookesia,brookesia_ramantsoai,36,48,6,12,micro,NA,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,this study
BGA710,brookesia,brookesia_ramantsoai,36,48,6,12,micro,NA,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,this study
B3088,brookesia,brookesia_tubercolata,36,48,6,12,micro,NA,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,this study
B199,brookesia,brookesia_superciliaris2,36,48,6,12,micro,NA,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,this study
BGAA3,brookesia,brookesia_superciliaris2,36,48,6,12,micro,NA,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,this study
BGA309,brookesia,brookesia_dentata,36,48,6,12,micro,NA,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,this study
FGA379,furcifer,furcifer_balteatus,34,46,6,11,NA,NA,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,this study
F647,furcifer,furcifer_balteatus,34,46,6,11,NA,NA,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,this study
FGA99,furcifer,furcifer_oustaleti,22,40,9,2,macro,4,meta,meta,meta,meta,submeta,meta,meta,meta,meta,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.3,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA," Matthey, 1957; Bourgat, 1972; Rovatsos et al., 2017; this study"
F12269,furcifer,furcifer_oustaleti,22,40,9,2,macro,4,meta,meta,meta,meta,submeta,meta,meta,meta,meta,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.3,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA," Matthey, 1957; Bourgat, 1972; Rovatsos et al., 2017; this study"
FGA15,furcifer,furcifer_verrucosus2,22,40,9,2,macro,4,meta,meta,meta,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,this study
FGA440,furcifer,furcifer_verrucosus2,22,40,9,2,macro,4,meta,meta,meta,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,this study
F2241,furcifer,furcifer_pardalis,22,40,9,2,macro,4,meta,submeta,subtelo,subtelo,meta,meta,meta,meta,submeta,NA,NA,NA,NA,NA,0.4,0.3,0.2,0.2,0.4,0.4,0.4,0.4,0.3,NA,NA,NA,NA,NA," Matthey, 1957; Bourgat, 1972; Rovatsos et al., 2017; this study"
F12266,furcifer,furcifer_pardalis,22,40,9,2,macro,4,meta,submeta,subtelo,subtelo,meta,meta,meta,meta,submeta,NA,NA,NA,NA,NA,0.4,0.3,0.2,0.2,0.4,0.4,0.4,0.4,0.3,NA,NA,NA,NA,NA," Matthey, 1957; Bourgat, 1972; Rovatsos et al., 2017; this study"
F1476,furcifer,furcifer_nicosiai ,22,40,9,2,macro,2,submeta,submeta,meta,meta,submeta,meta,meta,meta,meta,NA,NA,NA,NA,NA,0.3,0.3,0.4,0.4,0.3,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,this study
FGA81,furcifer,furcifer_nicosiai ,22,40,9,2,macro,2,submeta,submeta,meta,meta,submeta,meta,meta,meta,meta,NA,NA,NA,NA,NA,0.3,0.3,0.4,0.4,0.3,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,this study
F12278,furcifer,furcifer_lateralis,24,44,10,2,macro,3,meta,meta,submeta,meta,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,0.4,0.4,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA," Matthey, 1957; Bourgat, 1972; Rovatsos et al., 2019; this study"
F12279,furcifer,furcifer_lateralis,24,44,10,2,macro,3,meta,meta,submeta,meta,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,0.4,0.4,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA," Matthey, 1957; Bourgat, 1972; Rovatsos et al., 2019; this study"
FGA513,furcifer,furcifer_viridis,24,44,10,2,macro,3,meta,submeta,meta,submeta,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,0.4,0.3,0.4,0.3,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,this study
FGA516,furcifer,furcifer_viridis,24,44,10,2,macro,3,meta,submeta,meta,submeta,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,0.4,0.3,0.4,0.3,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,this study
F3015,furcifer,furcifer_petteri,22,38,8,3,macro,3,meta,meta,meta,meta,submeta,meta,meta,meta,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.3,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,this study
F3016,furcifer,furcifer_petteri,22,38,8,3,macro,3,meta,meta,meta,meta,submeta,meta,meta,meta,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.3,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,this study
FGA331,furcifer,furcifer_labordi,28,54,13,1,NA,NA,meta,meta,submeta,submeta,meta,meta,submeta,meta,meta,submeta,meta,meta,meta,NA,0.4,0.4,0.3,0.3,0.4,0.4,0.3,0.4,0.4,0.3,0.4,0.4,0.4,NA,this study
FGA332,furcifer,furcifer_labordi,28,54,13,1,NA,NA,meta,meta,submeta,submeta,meta,meta,submeta,meta,meta,submeta,meta,meta,meta,NA,0.4,0.4,0.3,0.3,0.4,0.4,0.3,0.4,0.4,0.3,0.4,0.4,0.4,NA,this study
FGA581,furcifer ,furcifer_verrucosus1,24,46,11,1,NA,NA,meta,meta,meta,subtelo,meta,meta,subtelo,subtelo,meta,meta,submeta,NA,NA,NA,0.4,0.4,0.4,0.2,0.4,0.4,0.2,0.2,0.4,0.4,0.3,NA,NA,NA,this study
FGA582,furcifer ,furcifer_verrucosus1,24,46,11,1,NA,NA,meta,meta,meta,subtelo,meta,meta,subtelo,subtelo,meta,meta,submeta,NA,NA,NA,0.4,0.4,0.4,0.2,0.4,0.4,0.2,0.2,0.4,0.4,0.3,NA,NA,NA,this study
Furant,furcifer,furcifer_antimena,24,42,10,2,macro,3,meta,meta,meta,meta,meta,meta,meta,subtelo,meta,telo,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.2,0.4,0.1,NA,NA,NA,NA,"Rovatsos et al., 2019"
FGA465,furcifer,furcifer_belalandensis,22,40,10,1,macro,NA,meta,meta,meta,meta,meta,meta,meta,meta,subtelo,telo,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.2,0.1,NA,NA,NA,NA,this study
FGA104,furcifer,furcifer_campani,26,40,7,6,macro,1,meta,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA," Matthey, 1957; this study"
FGA105,furcifer,furcifer_campani,26,40,7,6,macro,1,meta,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA," Matthey, 1957; this study"
FGA489,furcifer,furcifer_minor,22,34,8,3,macro,2,meta,meta,meta,meta,meta,meta,telo,telo,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,0.1,0.1,NA,NA,NA,NA,NA,NA,"Rovatsos et al., 2019; this study"
Fga490,furcifer,furcifer_rhinoceratus,22,40,9,2,macro,3,submeta,meta,meta,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,"Matthey & van Brink, 1956, 1960; this study"
FGA174,furcifer,furcifer_wilsii,28,42,7,7,macro,NA,meta,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,"Rovatsos et al., 2019, this study"
FGA175,furcifer,furcifer_wilsii,28,42,7,7,macro,NA,meta,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,"Rovatsos et al., 2019, this study"
FGA456,furcifer,furcifer_major,24,42,9,3,macro,2,meta,submeta,submeta,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,0.4,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,this study
FurbGB,furcifer,furcifer_bifidus,24,40,8,4,macro,2,meta,meta,meta,meta,meta,submeta,meta,meta,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.3,0.4,0.4,NA,NA,NA,NA,NA,NA,"Rovatsos et al., 2019"
Furang,furcifer,furcifer_angeli,22,NA,9,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bourgat 1973
Furcep,furcifer,furcifer_cephalolepis,28,52,12,2,NA,NA,meta,submeta,meta,meta,submeta,meta,meta,meta,meta,meta,meta,meta,NA,NA,0.4,0.3,0.4,0.4,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,Matthey 1957
Furpol,furcifer,furcifer_polleni,24,40,8,4,NA,NA,submeta,submeta,meta,subtelo,subtelo,submeta,meta,meta,NA,NA,NA,NA,NA,NA,0.3,0.3,0.4,0.2,0.2,0.3,0.4,0.4,NA,NA,NA,NA,NA,NA,"Bourgat, 1973"
C2208,calumma,calumma_tarzan,38,50,6,13,NA,NA,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,this study
C3043,calumma,calumma_gastrotaenia,36,48,6,12,NA,NA,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,"Bourgat, 1971"
CGA87,calumma,calumma_gastrotaenia,36,48,6,12,NA,NA,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,"Bourgat, 1971"
CGA45,calumma,calumma_sp3,34,48,7,10,NA,NA,meta,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA, this study
CGA46,calumma,calumma_sp3,34,48,7,10,NA,NA,meta,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA, this study
CGA429,calumma,calumma_sp1,30,44,7,8,macro,2,meta,meta,submeta,meta,submeta,meta,telo,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.3,0.4,0.3,0.4,0.1,NA,NA,NA,NA,NA,NA,NA,this study
CGA430,calumma,calumma_sp1,30,44,7,8,macro,2,meta,meta,submeta,meta,submeta,meta,telo,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.3,0.4,0.3,0.4,0.1,NA,NA,NA,NA,NA,NA,NA,this study
CGA312,calumma,calumma_malthae,36,46,6,12,macro,1,meta,telo,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.1,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,"Rovatsos et al., 2017; this study"
CGA963,calumma,calumma_malthae,36,46,6,12,macro,1,meta,telo,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.1,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,"Rovatsos et al., 2017; this study"
CGA236,calumma,calumma_radamanus_complex,34,52,9,8,macro,2,meta,meta,meta,meta,submeta,meta,meta,meta,meta,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.3,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,"Matthey, 1957; this study"
CGA453,calumma,calumma_oshaughnessyi,36,48,6,12,macro,2,meta,subtelo,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.2,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,"Bourgat, 1971; this study"
CGA383,calumma,calumma_oshaughnessyi,36,48,6,12,macro,2,meta,subtelo,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.2,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,"Bourgat, 1971; this study"
C12265,calumma,calumma_hilleniusi,36,54,9,9,NA,NA,meta,meta,meta,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,this study
C404,calumma,calumma_crypticum,30,46,10,5,macro,2,meta,meta,submeta,meta,meta,meta,meta,telo,telo,meta,NA,NA,NA,NA,0.4,0.4,0.3,0.4,0.4,0.4,0.4,0.1,0.1,0.4,NA,NA,NA,NA,this study
Cl11778,calumma,calumma_brevicorne2,32,48,8,8,macro,2,meta,meta,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,this study
Cl11779,calumma,calumma_brevicorne2,32,48,8,8,macro,2,meta,meta,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,this study
CGA501,calumma,calumma_globifer,36,48,6,12,macro,2,meta,submeta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.3,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,"Bourgat, 1973; Rovatsos et al., 2017; this study"
C11776,calumma,calumma_globifer,36,48,6,12,macro,2,meta,submeta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.3,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,"Bourgat, 1973; Rovatsos et al., 2017; this study"
CGA364,calumma,calumma_glawi,36,50,7,11,NA,NA,meta,meta,meta,meta,submeta,submeta,meta,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.3,0.3,0.4,NA,NA,NA,NA,NA,NA,NA,this study
CGA368,calumma,calumma_gastrotaenia2,36,48,6,12,macro,2,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,this study
CGA557,calumma,calumma_gastrotaenia2,36,48,6,12,macro,2,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,this study
CGA311,calumma,calumma_furcifer,36,48,6,12,NA,NA,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,this study
CGA310,calumma,calumma_emelinae,30,44,7,8,macro,2,meta,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,this study
CGA314,calumma,calumma_emelinae,30,44,7,8,macro,2,meta,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,this study
CGA365,calumma,calumma_fallax1,30,44,7,8,macro,2,meta,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,this study
CGA382,calumma,calumma_fallax1,30,44,7,8,macro,2,meta,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,this study
CGA48,calumma,calumma_brevicorne1,32,50,9,7,macro,1,meta,meta,meta,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA," Matthey, 1957; Bourgat, 1972; Rovatsos et al., 2017; this study"
CGA594,calumma,calumma_brevicorne1,32,50,9,7,macro,1,meta,meta,meta,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA," Matthey, 1957; Bourgat, 1972; Rovatsos et al., 2017; this study"
C3126,calumma,calumma_amber,38,56,9,10,NA,NA,meta,meta,meta,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,this study
C3134,calumma,calumma_amber,38,56,9,10,NA,NA,meta,meta,meta,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,this study
C3121,calumma,calumma_ambreense,34,46,6,11,macro,2,meta,submeta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.3,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,this study
C3123,calumma,calumma_ambreense,34,46,6,11,macro,2,meta,submeta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.3,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,this study
C984,calumma,calumma_nasutum,28,42,7,7,macro,1,meta,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,this study
C985,calumma,calumma_nasutum,28,42,7,7,macro,1,meta,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,this study
C601,calumma,calumma_gallus1,36,52,8,10,NA,NA,meta,meta,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,this study
C602,calumma,calumma_gallus1,36,52,8,10,NA,NA,meta,meta,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,this study
C3125,calumma,calumma_sp2,36,48,6,12,NA,NA,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,this study
C3118,calumma,calumma_parsonii,36,48,6,12,macro,2,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA," Matthey, 1957; Rovatsos et al., 2017; this study"
Calparcri,calumma,calumma_parsonii_cristifer,36,48,6,12,NA,NA,meta,subtelo,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.2,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,"De Smet, 1981"
CGA642,calumma,calumma_gallus3,34,46,6,11,NA,NA,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,this study
CGA494,calumma,calumma_fallax2,28,42,7,7,NA,NA,meta,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,this study
CGA495,calumma,calumma_fallax2,28,42,7,7,NA,NA,meta,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,this study
CGA763,calumma,calumma_gallus2,32,44,6,10,NA,NA,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,this study
